Age,Income,Co_Applicant_Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Years_with_Employer,Existing_EMI,Monthly_Expenses,Num_Credit_Cards,Late_Payments,Has_Defaulted_Before,Collateral_Available,Avg_Balance_Last_6M,Num_Hard_Inquiries_Last_6M,Total_Income,DTI_Ratio,LTV_Ratio,Approved,Loan_Purpose_Auto,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Personal
38,77761,1,380,354359,1,1,14,28362,98534,5,4,0,0,241128,0,87761,0.3231731634780825,1.4695826715160765,0,False,False,True,False
28,56368,0,567,597473,1,0,11,28258,20929,2,2,0,0,5005,2,56368,0.5013128015895544,119.3513783459848,0,False,False,False,True
14,157855,1,718,748802,2,0,26,21782,70091,7,0,0,1,239152,0,167855,0.1297667629799529,3.1310583601292894,0,True,False,False,False
7,61914,2,534,566479,0,1,25,41168,90378,5,0,0,0,274182,1,81914,0.5025758722562688,2.066061717903736,0,False,False,True,False
20,147738,3,610,494975,1,0,0,21120,33519,9,3,0,1,273558,3,177738,0.1188265874489417,1.8093902960604475,0,False,True,False,False
38,87526,1,656,877585,3,1,14,19790,27393,4,0,0,0,485875,3,97526,0.2029202469085167,1.8061912916052656,0,False,False,True,False
18,196837,0,512,389679,1,0,3,27912,44318,1,4,0,0,336650,3,196837,0.1418026082494653,1.1575162408547726,0,False,False,True,False
22,39956,1,348,707941,1,1,12,47374,84531,9,2,0,1,343730,3,49956,0.9483145167747618,2.0595785657970915,0,False,True,False,False
10,66240,4,426,101717,2,1,22,42907,57934,9,1,0,0,400822,4,116240,0.3691242257398486,0.2537703674689326,0,False,False,False,True
10,141008,0,522,52763,3,0,26,34812,91103,6,0,0,0,283626,0,141008,0.2468796096675365,0.1860295387956717,0,True,False,False,False
23,188220,2,578,405054,1,1,24,49570,38840,1,1,0,1,234901,3,208220,0.238065507636154,1.724353134498642,0,False,False,False,True
35,114270,3,707,105480,1,0,4,36160,99367,0,0,0,1,207945,4,144270,0.2506411589381022,0.5072470737595337,0,False,True,False,False
23,24757,1,804,744119,3,1,28,19156,23265,6,2,0,0,38948,4,34757,0.5511407773973588,19.104957765282805,0,False,False,True,False
2,39097,0,593,257139,0,1,1,10672,15424,4,4,0,1,357131,4,39097,0.2729621198557434,0.7200110883370855,0,True,False,False,False
21,161467,4,576,168094,0,1,22,14444,30625,0,2,0,0,227873,2,211467,0.0683038015387743,0.7376620413035274,0,False,False,False,True
1,167313,0,737,730667,1,1,25,6784,89622,3,1,1,1,227322,2,167313,0.0405467596660151,3.2142238136924117,0,False,True,False,False
23,123892,4,406,801731,1,0,0,17929,39187,3,0,0,0,25875,4,173892,0.1031042256112989,30.9835755139898,0,False,False,True,False
29,178768,2,719,585352,0,1,15,1070,45929,9,1,0,1,280201,3,198768,0.0053831602672462,2.0890357670537685,0,False,False,True,False
37,90480,3,728,126848,2,1,22,22906,71892,6,4,0,1,37400,0,120480,0.1901228419654714,3.391567070399187,0,False,False,False,True
1,66163,2,674,611836,3,0,5,34618,30539,8,2,0,1,469674,1,86163,0.4017733830066269,1.302679512428807,0,False,True,False,False
20,39816,1,372,218017,3,0,22,45158,66630,1,1,0,1,73607,2,49816,0.9064959049301428,2.961865558091512,0,False,False,True,False
32,72853,0,329,842908,2,0,15,2939,19215,0,1,1,1,354705,3,72853,0.0403415096152526,2.3763567574272777,0,False,False,True,False
11,175989,4,487,494972,2,0,13,29841,49385,1,4,0,1,294647,3,225989,0.1320462500387187,1.6798756482311097,0,True,False,False,False
21,116731,4,663,926533,2,0,28,42863,97580,6,0,0,1,421981,1,166731,0.2570787675957081,2.195669483532473,0,False,False,True,False
24,172638,0,750,576670,2,0,25,16301,87462,9,1,0,1,106096,1,172638,0.0944230123147858,5.435309198186565,0,False,False,False,True
26,82823,0,494,492899,2,1,2,7194,35008,5,4,0,1,51612,3,82823,0.0868599302126221,9.54990021893709,0,False,True,False,False
27,171878,1,455,531215,2,0,14,5851,58928,3,0,0,0,365462,1,181878,0.0321699160976038,1.4535397564185704,0,False,True,False,False
15,21759,2,471,750636,3,1,2,16378,93096,0,0,0,1,266538,3,41759,0.3922028784214181,2.8162332716788163,0,True,False,False,False
14,193021,4,340,535097,2,0,22,678,99876,0,2,1,0,89335,1,243021,0.0027898823558457,5.989712993641981,0,False,True,False,False
2,112374,1,362,553516,0,1,28,30640,34976,4,4,0,1,368133,1,122374,0.2503799826760586,1.503572068866228,0,False,False,False,True
